agenc, site_no,peak_dt,peak_va,HYDyear
USGS,8069000,5/31/1929,26000,1929
USGS,8069000,11/26/1940,15000,1941
USGS,8069000,8/31/1945,10700,1945
USGS,8069000,5/22/1946,5260,1946
USGS,8069000,11/6/1946,6520,1947
USGS,8069000,12/17/1947,424,1948
USGS,8069000,2/28/1949,1580,1949
USGS,8069000,10/8/1949,22100,1950
USGS,8069000,9/24/1951,976,1951
USGS,8069000,4/12/1952,5270,1952
USGS,8069000,5/18/1953,5700,1953
USGS,8069000,7/30/1954,10600,1954
USGS,8069000,2/6/1955,2800,1955
USGS,8069000,1/22/1956,589,1956
USGS,8069000,4/30/1957,2920,1957
USGS,8069000,10/15/1957,7440,1958
USGS,8069000,4/11/1959,4240,1959
USGS,8069000,6/28/1960,10600,1960
USGS,8069000,9/12/1961,6880,1961
USGS,8069000,11/13/1961,810,1962
USGS,8069000,11/27/1962,1910,1963
USGS,8069000,5/31/1964,4970,1964
USGS,8069000,2/17/1965,1480,1965
USGS,8069000,5/20/1966,3320,1966
USGS,8069000,9/21/1967,2520,1967
USGS,8069000,5/14/1968,5360,1968
USGS,8069000,2/21/1969,4780,1969
USGS,8069000,5/31/1970,3690,1970
USGS,8069000,10/23/1970,3220,1971
USGS,8069000,5/13/1972,4030,1972
USGS,8069000,4/18/1973,6710,1973
USGS,8069000,10/16/1973,5680,1974
USGS,8069000,4/10/1975,3560,1975
USGS,8069000,9/2/1976,4060,1976
USGS,8069000,4/22/1977,2930,1977
USGS,8069000,6/7/1978,4860,1978
USGS,8069000,9/20/1979,4490,1979
USGS,8069000,1/22/1980,3320,1980
USGS,8069000,9/1/1981,6580,1981
USGS,8069000,5/13/1982,4540,1982
USGS,8069000,5/21/1983,5990,1983
USGS,8069000,12/12/1983,1430,1984
USGS,8069000,10/25/1984,7920,1985
USGS,8069000,11/24/1985,4150,1986
USGS,8069000,6/12/1987,4380,1987
USGS,8069000,11/25/1987,5950,1988
USGS,8069000,5/18/1989,12400,1989
USGS,8069000,2/21/1990,3120,1990
USGS,8069000,4/14/1991,5070,1991
USGS,8069000,4/17/1992,7540,1992
USGS,8069000,3/1/1993,5690,1993
USGS,8069000,2/10/1994,4270,1994
USGS,8069000,10/19/1994,10700,1995
USGS,8069000,9/24/1996,3190,1996
USGS,8069000,9/23/1997,4890,1997
USGS,8069000,1/6/1998,9150,1998
USGS,8069000,10/18/1998,12500,1999
USGS,8069000,5/20/2000,6330,2000
USGS,8069000,6/9/2001,15400,2001
USGS,8069000,9/20/2002,5020,2002
USGS,8069000,10/29/2002,8660,2003
USGS,8069000,11/17/2003,12200,2004
USGS,8069000,11/22/2004,8250,2005
USGS,8069000,12/14/2005,7740,2006
USGS,8069000,10/16/2006,9440,2007
USGS,8069000,9/13/2008,12700,2008
USGS,8069000,4/28/2009,12200,2009
USGS,8069000,10/30/2009,8410,2010
USGS,8069000,1/5/2011,1520,2011
USGS,8069000,7/14/2012,7940,2012
USGS,8069000,9/21/2013,4730,2013
USGS,8069000,5/28/2014,7650,2014
USGS,8069000,5/26/2015,8750,2015
